created_at,id,text,text_clean,probability,sentiment,timestamp
2021-06-11T12:01:39.000Z,1403321526481469440,RT @gate_io: Remember Elon Musk? https://t.co/rYTWY2oYBi,RT : Remember Elon Musk? ,0.9193795919418335,NEGATIVE,2021-06-11 12:01:39
2021-06-11T12:01:37.000Z,1403321520756297735,"News Headline
Tesla's new Model S runs Cyberpunk 2077 with 'PS5-level performance' - The Verge

Biden joins the world leaders club at G7 with call for wartime effort against Covid-19 - CNN 

China releases new images of Mars taken by its Zhurong rover - CNN",News Headline Tesla's new Model S runs Cyberpunk 2077 with 'PS5-level performance' - The Verge Biden joins the world leaders club at G7 with call for wartime effort against Covid-19 - CNN China releases new images of Mars taken by its Zhurong rover - CNN,0.9932510256767273,NEGATIVE,2021-06-11 12:01:37
2021-06-11T12:01:35.000Z,1403321512929660929,@StianWalgermo @dapo_hallow @LucidMotors @Tesla you cant compare different segments only based on car sales. In addition to that lucid will launch in H2,   Tesla you cant compare different segments only based on car sales. In addition to that lucid will launch in H2,0.6952419281005859,POSITIVE,2021-06-11 12:01:35
2021-06-11T12:01:33.000Z,1403321502024544257,"@TSLA Gigafactory Faces Permit Suspension in  Germany Due To Environmental Issues. 
$TSLA $CCIV $FSR $QS $LCID https://t.co/d6iOuHTpZh", Gigafactory Faces Permit Suspension in Germany Due To Environmental Issues. $TSLA $CCIV $FSR $QS $LCID ,0.9889645576477051,NEGATIVE,2021-06-11 12:01:33
2021-06-11T12:01:33.000Z,1403321501223243780,"Thanks so much Elon Musk!!

Sent 5 #eth got back 50! Highly recommended. #ethereum

#eth $eth #dogecoin #ethereum $doge #bitcoin $btc #btc
https://t.co/7hyTKauTov",Thanks so much Elon Musk!! Sent 5 #eth got back 50! Highly recommended. #ethereum #eth $eth #dogecoin #ethereum $doge #bitcoin $btc #btc ,0.9983733892440796,POSITIVE,2021-06-11 12:01:33
2021-06-11T12:01:32.000Z,1403321500250279940,RT @dburkland: Tonight's @Tesla Model S Plaid Delivery Event was short yet contained a few nuggets of new information. I took some notes an…,RT : Tonight's Tesla Model S Plaid Delivery Event was short yet contained a few nuggets of new information. I took some notes an…,0.7499774098396301,NEGATIVE,2021-06-11 12:01:32
2021-06-11T12:01:31.000Z,1403321494852284426,"Following Elon musk is not a financial advice.
# Elon_FartCoiner",Following Elon musk is not a financial advice. # Elon_FartCoiner,0.9995834231376648,NEGATIVE,2021-06-11 12:01:31
2021-06-11T12:01:31.000Z,1403321493359058946,RT @Erdayastronaut: I just went 0-60 MPH in about 2 seconds and 0-100 MPH in about 4 seconds with 4 people in the car 🤯 @Tesla just broke t…,RT : I just went 0-60 MPH in about 2 seconds and 0-100 MPH in about 4 seconds with 4 people in the car 🤯 Tesla just broke t…,0.9999303817749023,NEGATIVE,2021-06-11 12:01:31
2021-06-11T12:01:29.000Z,1403321487256285187,"RT @Manic_Marge: “Physics is the law, everything else is a recommendation.” -@elonmusk #PlaidDay #Tesla https://t.co/9iOWoXmdAK","RT : “Physics is the law, everything else is a recommendation.” - #PlaidDay #Tesla ",0.9976935982704163,POSITIVE,2021-06-11 12:01:29
2021-06-11T12:01:27.000Z,1403321479350075395,RT @Kristennetten: Tesla Event Team https://t.co/LHh6fonFUL,RT : Tesla Event Team ,0.9998570680618286,POSITIVE,2021-06-11 12:01:27
